time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,2,0,0,0,0,0,0
3,0,5,8,13,2052,2469,4521
5,3,0,0,0,0,0,0
9,8,0,0,0,0,0,0
10,4,9,13,22,1908,7192,9100
11,5,3,3,6,1949,0,1949
12,3,7,31,38,39,30165,30204
13,2,4,7,11,1476,728,2204
14,3,0,0,0,0,0,0
16,3,0,0,0,0,0,0
20,0,11,16,27,4878,6772,11650
21,0,6,11,17,78,4443,4521
23,0,5,8,13,1507,802,2309
25,5,0,0,0,0,0,0
26,4,0,0,0,0,0,0
27,6,0,0,0,0,0,0
29,0,2,2,4,0,0,0
30,0,10,10,20,635,3801,4436
31,0,3,3,6,1537,169,1706
33,2,8,15,23,1995,7380,9375
34,2,0,0,0,0,0,0
37,2,0,0,0,0,0,0
38,2,0,0,0,0,0,0
39,1,0,0,0,0,0,0
44,1,6,9,15,3452,2268,5720
45,4,0,0,0,0,0,0
46,2,0,0,0,0,0,0
47,7,0,0,0,0,0,0
48,1,0,0,0,0,0,0
49,1,0,0,0,0,0,0
50,1,0,0,0,0,0,0
51,1,0,0,0,0,0,0
52,1,0,0,0,0,0,0
54,2,8,13,21,1964,7358,9322
55,3,0,0,0,0,0,0
58,8,0,0,0,0,0,0
59,6,0,0,0,0,0,0
61,1,0,0,0,0,0,0
64,1,1,1,2,58,0,58
65,3,4,7,11,2082,2584,4666
67,2,0,0,0,0,0,0
69,1,0,0,0,0,0,0
73,1,0,0,0,0,0,0
74,0,7,11,18,1964,7157,9121
75,2,0,0,0,0,0,0
76,9,0,0,0,0,0,0
77,1,0,0,0,0,0,0
79,1,0,0,0,0,0,0
80,2,0,0,0,0,0,0
82,1,0,0,0,0,0,0
83,2,0,0,0,0,0,0
84,0,7,9,16,1964,2202,4166
85,3,0,0,0,0,0,0
86,5,0,0,0,0,0,0
87,12,0,0,0,0,0,0
88,4,0,0,0,0,0,0
89,6,0,0,0,0,0,0
90,0,2,2,4,0,0,0
91,5,0,0,0,0,0,0
92,1,11,10,21,2097,566,2663
93,6,0,0,0,0,0,0
94,2,7,13,20,1708,7281,8989
95,3,0,0,0,0,0,0
96,2,0,0,0,0,0,0
97,3,0,0,0,0,0,0
98,2,0,0,0,0,0,0
99,1,0,0,0,0,0,0
100,5,0,0,0,0,0,0
103,1,0,0,0,0,0,0
104,0,11,17,28,4911,3302,8213
105,3,0,0,0,0,0,0
107,2,0,0,0,0,0,0
108,1,0,0,0,0,0,0
109,2,0,0,0,0,0,0
113,1,0,0,0,0,0,0
114,2,7,12,19,1940,7118,9058
115,1,0,0,0,0,0,0
116,1,0,0,0,0,0,0
117,1,0,0,0,0,0,0
118,2,0,0,0,0,0,0
119,2,0,0,0,0,0,0
120,0,17,17,34,4854,6552,11406
121,0,4,11,15,39,9790,9829
122,2,0,0,0,0,0,0
124,0,5,8,13,1852,948,2800
125,3,0,0,0,0,0,0
127,4,0,0,0,0,0,0
129,2,0,0,0,0,0,0
130,1,0,0,0,0,0,0
134,0,7,13,20,1956,7376,9332
137,1,0,0,0,0,0,0
139,2,0,0,0,0,0,0
140,3,0,0,0,0,0,0
141,1,0,0,0,0,0,0
143,2,0,0,0,0,0,0
144,0,6,9,15,2068,2266,4334
145,3,0,0,0,0,0,0
146,1,0,0,0,0,0,0
147,2,0,0,0,0,0,0
151,3,0,0,0,0,0,0
152,2,2,2,4,0,0,0
153,0,7,6,13,344,3500,3844
154,0,14,19,33,3576,7755,11331
160,2,0,0,0,0,0,0
161,2,0,0,0,0,0,0
164,2,33,40,73,3968,32395,36363
165,3,0,0,0,0,0,0
167,4,23,28,51,3711,6952,10663
168,120,0,0,0,0,0,0
170,9,0,0,0,0,0,0
171,6,0,0,0,0,0,0
173,4,0,0,0,0,0,0
174,45,13,44,57,3777,36971,40748
175,1,0,0,0,0,0,0
176,1,0,0,0,0,0,0
177,1,0,0,0,0,0,0
178,6,0,0,0,0,0,0
180,2,0,0,0,0,0,0
181,2,0,0,0,0,0,0
182,2,0,0,0,0,0,0
184,1,9,10,19,2044,3540,5584
185,5,0,0,0,0,0,0
187,4,0,0,0,0,0,0
188,5,0,0,0,0,0,0
190,1,0,0,0,0,0,0
191,4,0,0,0,0,0,0
192,1,0,0,0,0,0,0
194,0,1,0,1,58,0,58
aggregate,466,4187,438,4625,64539,221802,286341
average,2.40206,21.5825,2.25773,23.8402,332.675,1143.31,1475.98
