time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,2,0,0,0,0,0,0
8,2,0,0,0,0,0,0
9,2,4,0,4,2253,0,2253
10,1,20,42,62,39,40412,40451
12,3,0,0,0,0,0,0
13,1,0,0,0,0,0,0
14,2,0,0,0,0,0,0
15,2,3,5,8,94,171,265
16,1,0,0,0,0,0,0
19,1,0,0,0,0,0,0
20,1,9,11,20,1964,2404,4368
21,4,10,9,19,1770,566,2336
24,1,0,0,0,0,0,0
25,1,0,0,0,0,0,0
26,1,0,0,0,0,0,0
27,2,0,0,0,0,0,0
29,3,0,0,0,0,0,0
30,16,0,0,0,0,0,0
31,9,0,0,0,0,0,0
33,2,0,0,0,0,0,0
36,1,0,0,0,0,0,0
37,1,0,0,0,0,0,0
41,3,0,0,0,0,0,0
42,5,0,0,0,0,0,0
44,1,0,0,0,0,0,0
45,4,0,0,0,0,0,0
46,1,0,0,0,0,0,0
50,2,0,0,0,0,0,0
51,3,0,0,0,0,0,0
52,2,0,0,0,0,0,0
54,4,0,0,0,0,0,0
55,1,0,0,0,0,0,0
61,1,0,0,0,0,0,0
63,3,0,0,0,0,0,0
69,2,0,0,0,0,0,0
71,1,0,0,0,0,0,0
72,3,0,0,0,0,0,0
73,3,0,0,0,0,0,0
76,2,0,0,0,0,0,0
81,2,2,2,4,0,0,0
82,4,11,12,23,2541,3801,6342
83,0,1,1,2,0,169,169
86,2,0,0,0,0,0,0
88,1,0,0,0,0,0,0
91,1,0,0,0,0,0,0
92,1,0,0,0,0,0,0
93,2,0,0,0,0,0,0
94,3,0,0,0,0,0,0
97,2,0,0,0,0,0,0
98,1,0,0,0,0,0,0
99,0,4,4,8,2189,0,2189
100,0,5,7,12,39,3493,3532
106,2,0,0,0,0,0,0
112,2,0,0,0,0,0,0
114,2,0,0,0,0,0,0
115,2,0,0,0,0,0,0
118,2,0,0,0,0,0,0
119,0,3,3,6,2029,0,2029
120,0,9,14,23,1443,5394,6837
127,2,0,0,0,0,0,0
135,2,0,0,0,0,0,0
136,2,0,0,0,0,0,0
137,1,0,0,0,0,0,0
139,3,5,0,5,3535,0,3535
140,0,3,11,14,39,3050,3089
141,6,0,0,0,0,0,0
142,3,0,0,0,0,0,0
143,0,2,2,4,0,0,0
144,5,11,10,21,2042,566,2608
145,7,0,0,0,0,0,0
146,1,0,0,0,0,0,0
147,1,0,0,0,0,0,0
148,2,0,0,0,0,0,0
149,1,19,39,58,2060,39234,41294
152,0,13,19,32,4569,2473,7042
153,96,0,0,0,0,0,0
154,7,0,0,0,0,0,0
156,2,0,0,0,0,0,0
157,3,0,0,0,0,0,0
160,2,0,0,0,0,0,0
161,1,0,0,0,0,0,0
164,1,0,0,0,0,0,0
165,1,0,0,0,0,0,0
166,1,0,0,0,0,0,0
167,1,0,0,0,0,0,0
168,2,0,0,0,0,0,0
169,2,0,0,0,0,0,0
170,2,0,0,0,0,0,0
172,1,0,0,0,0,0,0
173,1,0,0,0,0,0,0
174,2,0,0,0,0,0,0
177,2,0,0,0,0,0,0
178,1,0,0,0,0,0,0
aggregate,293,305,191,496,26435,101733,128168
average,1.64607,1.71348,1.07303,2.78652,148.511,571.534,720.045
